
========== 绗?1 闆?==========
[00:00:21] 好考一下大。
[00:00:24] 家啊。
[00:00:50] 这个是什么工位八卦，说八卦。
[00:01:05] 对应的那。
[00:01:07] 个数字是什么？
[00:01:13] 五行属什么？
[00:01:23] 这个是什。
[00:01:25] 么空位？
[00:01:32] 对应的地址是什么？
[00:01:38] 一只。
[00:01:52] 嗯，你。
[00:01:54] 丑啊。
[00:02:03] 好，基本上都都没有问题。
[00:02:12] 今天这个课我们讲天根天干也是一种叙述符号。
[00:02:21] 在之前我们看到这个万年历的每个地址前面都配
[00:02:28] 一个电杆，
[00:02:29] 那么就是这个东西我们经常知道桂林山水甲天下。
[00:02:36] 所以这个甲来。
[00:02:38] 就代表第一是不是？
[00:02:40] 甲乙丙丁1234。
[00:02:43] 那么很多同学就不知道后面这个了，
[00:02:47] 它完整的这一套就是甲乙丙丁、戊己、庚戌壬癸。
[00:02:52] 好，首先大家把这十个字大声清晰快速的读上
[00:03:01] 几十遍，
[00:03:02] 直到很溜。
[00:03:04] 很顺。
[00:03:05] 好，现在开始。
[00:03:30] 直到你们非。
[00:03:32] 常熟练。
[00:04:09] 好，念顺了吗？
[00:04:10] 不需要你记下来，也不需要你会背，你只把这个念顺就行了。
[00:04:19] 甲乙丙丁戊己跟辛壬癸。
[00:04:34] 好，我们上次说过的任何事物它都有阴阳五行的属性。
[00:04:40] 那么在这个十天干中间也是这样子的。
[00:04:44] 他们的这个阴阳五行属性分别是这样，甲乙的话是木五行属木，
[00:04:51] 丙丁的话属火，戊己属土，庚辛属金，壬癸属水。
[00:04:55] 那么甲乙两个属木的话，甲是阳乙是阴，然后一个阳一个阴，
[00:05:01] 一个阳一个阴，分别是就是这样一一对应五行。
[00:05:06] 你只要记住这个练顺了之后，你只要知道甲乙是属木的，
[00:05:12] 后面的话就自然知道了木生火、火生土、土生金、辛生水都有规律的是吧？
[00:05:19] 甲乙是属木木生火，那么后面丙丁就是属火的，
[00:05:24] 火生土，后面戊己属土，土真金，就是这样子。
[00:05:29] 第一个是阳，每隔一个都是阳，听懂没有？
[00:05:35] 好，我们在第一节课讲的阴阳的时候讲过，
[00:05:39] 这个阳是代表积极的、向上的、阳刚的、威猛的、比较大的东西是吧？
[00:05:45] 这个阴的话是属于比较柔弱的、比较小的东西，对不对？
[00:05:50] 好了，那你看一个木，五行属木的木的话，比如说我们用植物来说，
[00:05:56] 他的话阳的植物和阴的植物会是什么区别的？
[00:06:05] 大家想想看，什么样的职物是阳物，什么样的植物是阴物？
[00:06:17] 大树小草说的。
[00:06:20] 非常好。
[00:06:23] 就一个大的一个小的所以甲木它是阳木代表的就是大树，
[00:06:30] 乙木就是代表小草。
[00:06:33] 好，那么丙丁是属火的，那么什么是阳的火？
[00:06:37] 什么是阴的火？
[00:06:38] 来大家想想看。
[00:06:51] 太阳和蜡烛是吧？
[00:06:54] 太阳是月亮是吧？
[00:06:56] 太阳和打火机也对。
[00:06:59] 非常的好。
[00:07:02] 丙是阳火，你太阳的意思，
[00:07:06] 冰的话小火、蜡烛、打火机、小东西都有。
[00:07:11] 好，那么戊和己呢？
[00:07:13] 戊己是属土的，那么阳的土和阴的土。
[00:07:30] 高山嗯，沙漠湿地。
[00:07:38] 可以对比再。
[00:07:40] 强烈一点。
[00:07:46] 不要怕说错，本来就没有什么正绝对的正确答案，
[00:07:52] 你只要敢说，你就对了一半。
[00:07:60] 高山平地。
[00:08:01] 戈壁沼泽，这个对。
[00:08:03] 比还不是特别强烈，是不是？
[00:08:07] 戈壁跟沼泽的区别不是阴阳的区别，
[00:08:11] 它就一个干一点，一个湿一点的地球土堆。
[00:08:17] 对，堤坝细沙是吧？
[00:08:20] 细沙得看多少都可以。
[00:08:22] 比如说你广袤的大地，它就是一个阳性的土？
